国际利率					
国债成交					
88d	169956	2.89			
2.83y	170002	3.06			
3.18y	150011	3.09			
4.06y	160007	3.09			
4.06y	160007	3.1			
4.31y	160015	3.14			
4.58y	160021	3.05			
4.81y	170001	3.13			
4.81y	170001	3.135			
4.81y	170001	3.14			
5.07y	150007	3.14			
5.30y	150014	3.16			
5.30y	150014	3.17			
9.62y	160023	3.295			
9.89y	170004	3.295			
9.89y	170004	3.3			
9.89y	170004	3.305			
9.89y	170004	3.31			
9.89y	170004	3.315			
					
金融债成交					
30d	160414	3.1			
41d	120223	3.07			
254d	140378	3.65			
307d	170301	3.62			
1.08y	150309	3.78			
1.95y	160208	3.92			
2.35y	160420	4			
3.06y	150208	4.03			
3.51y	150220	4.12			
5.12y	150412	4.25			
5.15y	150310	4.25			
6.80y	170201	4.19			
6.80y	170201	4.195			
7.05y	140211	4.26			
8.93y	160303	4.195			
9.04y	160210	4.1775			
9.04y	160210	4.18			
9.04y	160210	4.1875			
9.43y	160213	4.095			
9.43y	160213	4.0975			
9.43y	160213	4.098			
9.43y	160213	4.099			
9.43y	160213	4.1			
9.43y	160213	4.1025			
9.43y	160213	4.105			
9.43y	160213	4.106			
9.43y	160213	4.1075			
9.43y	160213	4.11			
9.43y	160213	4.1125			
					
					
				
